,Avg,Std,Weights
AMZN,0.03770652385714286,0.07156626882450207,0.02020707519252754
AXP,0.0006609068285714301,0.058519528674738815,0.07662482765086064
BA,0.022156186085714288,0.06643187437815617,6.980066996463452e-08
GOOGL,0.017331373257142863,0.058752874394502996,2.3643964006112082e-07
HON,0.010695570714285714,0.03164811955704675,0.01069820191386247
KO,0.0025056822285714282,0.03136081659855893,0.42496174612702026
MSFT,0.018020766457142855,0.06934243573857066,8.328121169365205e-08
SPY,0.005300741628571428,0.02727542209855188,0.22127007303762058
UNH,0.020031862999999994,0.040444650876255595,0.24623768655657985
