,Weights
AMZN,0.32518264598936786
AXP,2.0074430624230906e-08
BA,2.4853911283444078e-08
GOOGL,1.3065302565773255e-07
HON,1.3963448873660872e-07
KO,5.9398703807783e-08
MSFT,0.07867152576339746
SPY,1.9810661512982455e-08
UNH,0.5961454338220438
