,Returns,Risk
0,0.0014659021111393478,0.006745342075430361
1,0.002094396284891606,0.0067532415434004775
2,0.0027228904586438646,0.006773605270549162
3,0.0033513846323961227,0.006806615048579964
4,0.003979878806148381,0.006851743227665515
5,0.004608372979900639,0.0069197730189099116
6,0.005236867153652898,0.007035825674033638
7,0.005865361327405155,0.007189314193050349
8,0.006493855501157414,0.007374623227152832
9,0.0071223496749096725,0.007603696863231792
10,0.007750843848661931,0.00787023589290359
11,0.008379338022414189,0.008163746684095594
12,0.009007832196166448,0.008481988297102902
13,0.009636326369918706,0.008825900367591993
14,0.010264820543670963,0.009196397196550582
15,0.010893314717423223,0.009589608558681316
16,0.01152180889117548,0.009993700112950124
17,0.012150303064927738,0.010403274481713057
18,0.012778797238679997,0.010819141354936229
19,0.013407291412432255,0.011241378236221707
20,0.014035785586184514,0.01167338862500389
21,0.014664279759936772,0.012113221562036515
22,0.01529277393368903,0.012558624354183772
23,0.01592126810744129,0.013010778538781829
24,0.016549762281193547,0.013479800710409185
25,0.017178256454945806,0.013966271534594914
26,0.017806750628698065,0.014467020958881374
27,0.018435244802450325,0.014994780842955167
28,0.01906373897620258,0.015582313986369478
29,0.01969223314995484,0.01626424947251987
30,0.0203207273237071,0.017107073890478667
31,0.020949221497459355,0.01813300458800385
32,0.021577715671211615,0.019329885460791417
33,0.022206209844963874,0.020665046816962483
34,0.02283470401871613,0.022147168576562053
35,0.02346319819246839,0.023775823143951193
36,0.02409169236622065,0.025526300843135594
37,0.024720186539972905,0.027375869697347233
38,0.025348680713725164,0.029367087920635755
39,0.025977174887477424,0.031540706947237485
40,0.026605669061229683,0.03386593454718709
41,0.02723416323498194,0.03631680470654561
42,0.0278626574087342,0.03940935678021983
43,0.028491151582486458,0.04311998773447225
44,0.029119645756238714,0.04724150351973056
45,0.029748139929990973,0.05274027404726592
46,0.030376634103743232,0.06470146359451083
47,0.031005128277495488,0.08770278027182324
48,0.03163362245124775,0.11559962228300862
49,0.032262116625000004,0.14560482648513415
